"Symbol","Name","FullName","ListedDate"
"00001","長和","長江和記實業有限公司","1972-11-01"
"00002","中電控股","中電控股有限公司","1982-04-02"
"00003","香港中華煤氣","香港中華煤氣有限公司","1982-03-04"
"00004","九龍倉集團","九龍倉集團有限公司","1988-12-30"
"00005","匯豐控股","匯豐控股有限公司","1982-03-25"
"00006","電能實業","電能實業有限公司","1982-03-19"
"00007","智富資源投資","智富資源投資控股集團有限公司","2000-09-08"
"00008","電訊盈科","電訊盈科有限公司","1994-10-18"
"00009","金奧國際","金奧國際股份有限公司","2001-09-12"
"00010","恆隆集團","恆隆集團有限公司","1972-10-12"
"00011","恆生銀行","恆生銀行有限公司","1972-06-20"
"00012","恆基地產","恆基兆業地產有限公司","1981-07-23"
"00013","和記黃埔","和記黃埔有限公司","1978-01-03"
"00013","和黃醫藥","和黃醫藥(中國)有限公司","2021-06-30"
"00014","希慎興業","希慎興業有限公司","1981-09-18"
"00015","盈信控股","盈信控股有限公司","2000-09-08"
"00016","新鴻基地產","新鴻基地產發展有限公司","1972-09-08"
"00017","新世界發展","新世界發展有限公司","1972-11-23"
"00018","東方企控集團","東方企控集團有限公司","1987-08-18"
"00019","太古股份公司A","太古股份有限公司","1959-04-14"
"00020","會德豐","會德豐有限公司","1963-01-21"
"00020","商湯-W","商湯集團股份有限公司","2021-12-30"
"00021","大中華地產控股","大中華地產控股有限公司","1980-01-02"
"00022","茂盛控股","茂盛控股有限公司","1972-12-14"
"00023","東亞銀行","東亞銀行有限公司","1982-03-25"
"00024","寶威控股","寶威控股有限公司","1983-09-15"
"00025","CHEVALIER INT'L","其士國際集團有限公司","1984-12-05"
"00026","中華汽車","中華汽車有限公司","1980-01-02"
"00027","銀河娛樂","銀河娛樂集團有限公司","1991-10-07"
"00028","天安","天安中國投資有限公司","1987-03-18"
"00029","達力集團","達力集團有限公司","1980-01-25"
"00030","萬隆控股集團","萬隆控股集團有限公司","1991-10-09"
"00031","航天控股","中國航天國際控股有限公司","1981-08-25"
"00032","港通控股","港通控股有限公司","1974-07-30"
"00033","安山金控","安山金控股份有限公司","2007-11-19"
"00034","九龍建業","九龍建業有限公司","1995-07-04"
"00035","遠東發展","遠東發展有限公司","1972-09-21"
"00036","遠東控股國際","遠東控股國際有限公司","1973-02-12"
"00037","遠東酒店實業","遠東酒店實業有限公司","1979-07-03"
"00038","第一拖拉機股份","第一拖拉機股份有限公司","1997-06-23"
"00039","中國北大荒","中國北大荒產業集團控股有限公司","2001-01-16"
"00040","金山科技工業","金山科技工業有限公司","1984-07-02"
"00041","鷹君","鷹君集團有限公司","1982-03-25"
"00042","東北電氣","東北電氣發展股份有限公司","1995-07-06"
"00043","卜蜂國際","卜蜂國際有限公司","1988-04-28"
"00044","香港飛機工程","香港飛機工程有限公司","1981-02-23"
"00045","大酒店","香港上海大酒店有限公司","1981-12-10"
"00046","科聯系統","科聯系統集團有限公司","1998-05-18"
"00047","合興集團","合興集團控股有限公司","1988-11-16"
"00048","聯洲國際","聯洲國際集團有限公司","1993-06-25"
"00048","中國汽車內飾","中國汽車內飾集團有限公司","2014-08-25"
"00049","會德豐地產","會德豐地產有限公司","1981-07-13"
"00050","香港小輪(集團)","香港小輪(集團)有限公司","1981-06-16"
"00051","海港企業","海港企業有限公司","1980-01-02"
"00052","大快活集團","大快活集團有限公司","1991-10-09"
"00053","國浩集團","國浩集團有限公司","1983-05-03"
"00054","合和實業","合和實業有限公司","1972-08-21"
"00055","中星集團控股","中星集團控股有限公司","1992-09-10"
"00056","聯合地產(香港)","聯合地產(香港)有限公司","1981-01-08"
"00057","震雄集團","震雄集團有限公司","1991-10-22"
"00058","新威國際","新威國際控股有限公司","1999-09-03"
"00059","天譽置業","天譽置業(控股)有限公司","1993-11-16"
"00060","香港食品投資","香港食品投資控股有限公司","1992-12-16"
"00061","綠領控股","綠領控股集團有限公司","1999-07-06"
"00062","載通","載通國際控股有限公司","1981-11-24"
"00063","中亞烯谷集團","中亞烯谷集團有限公司","1986-02-26"
"00064","結好控股","結好控股有限公司","2002-06-06"
"00065","弘海高新資源","弘海高新資源有限公司","2009-06-22"
"00066","港鐵公司","香港鐵路有限公司","2000-10-05"
"00067","旭光高新材料","中國旭光高新材料集團有限公司","2009-06-16"
"00068","利興發展","利興發展有限公司","1972-11-09"
"00069","香格里拉(亞洲)","香格里拉(亞洲)有限公司","1993-06-17"
"00070","金粵控股","金粵控股有限公司","1984-02-17"
"00071","美麗華酒店","美麗華酒店企業有限公司","1980-01-02"
"00072","超媒體控股","超媒體控股有限公司","2009-09-09"
"00073","亞洲果業","亞洲果業控股有限公司","2009-11-26"
"00074","長城科技股份","長城科技股份有限公司","1999-08-05"
"00075","渝太地產","渝太地產集團有限公司","1984-11-12"
"00076","誼礫控股","誼礫控股有限公司","1984-09-24"
"00077","進智公共交通","進智公共交通控股有限公司","2004-04-15"
"00078","REGAL INT'L","富豪酒店國際控股有限公司","1982-02-01"
"00079","世紀建業","世紀建業(集團)有限公司","1993-07-08"
"00080","邵氏","邵氏兄弟(香港)有限公司","1980-01-02"
"00080","中國新經濟投資","中國新經濟投資有限公司","2011-01-06"
"00081","中國海外宏洋集團","中國海外宏洋集團有限公司","1984-04-26"
"00082","瘋狂體育","瘋狂體育集團有限公司","1991-10-25"
"00083","信和置業","信和置業有限公司","1981-04-08"
"00084","寶光實業","寶光實業(國際)有限公司","1972-10-02"
"00085","中電華大科技","中國電子華大科技有限公司","1997-07-25"
"00086","新鴻基公司","新鴻基有限公司","1983-10-03"
"00087","太古股份公司B","太古股份有限公司","1973-05-01"
"00088","TAI CHEUNG HOLD","大昌集團有限公司","1972-12-11"
"00089","大生地產","大生地產發展有限公司","1973-02-21"
"00090","普星能量","普星能量有限公司","2009-07-10"
"00091","金禧國際控股","金禧國際控股集團有限公司","1981-06-29"
"00092","冠軍科技集團","冠軍科技集團有限公司","1992-08-19"
"00093","TERMBRAY IND","添利工業國際(集團)有限公司","1991-10-23"
"00094","綠心集團","綠心集團有限公司","1988-06-21"
"00095","綠景中國地產","綠景(中國)地產投資有限公司","2005-12-02"
"00096","永隆銀行","永隆銀行有限公司","1980-03-27"
"00096","YUSEI","友成控股有限公司","2010-12-15"
"00097","恆基發展","恆基兆業發展有限公司","1972-11-06"
"00098","興發鋁業","興發鋁業控股有限公司","2008-03-31"
"00099","王氏國際","王氏國際集團有限公司","1983-12-15"
"00100","白馬戶外媒體","白馬戶外媒體有限公司","2001-12-19"
"00101","恆隆地產","恆隆地產有限公司","1980-01-02"
"00102","凱昇控股","凱昇控股有限公司","1994-01-10"
"00103","首佳科技","首佳科技製造有限公司","1992-04-09"
"00104","冠亞商業集團","冠亞商業集團有限公司","1987-07-29"
"00105","凱聯國際酒店","凱聯國際酒店有限公司","1985-10-24"
"00106","朗詩地產","朗詩綠色地產有限公司","1986-03-24"
"00107","四川成渝高速公路","四川成渝高速公路股份有限公司","1997-10-07"
"00108","國銳地產","國銳地產有限公司","1973-02-09"
"00109","天成國際","天成國際集團控股有限公司","1998-01-12"
"00110","中國長遠","中國長遠控股有限公司","2004-01-26"
"00111","信達國際控股","信達國際控股有限公司","2000-08-01"
"00112","勒泰集團","勒泰集團有限公司","1972-12-06"
"00113","迪生創建","迪生創建(國際)有限公司","1973-03-15"
"00114","HERALD HOLD","興利集團有限公司","1981-10-21"
"00115","鈞濠集團","鈞濠集團有限公司","1981-10-29"
"00116","周生生","周生生集團國際有限公司","1973-04-06"
"00117","天利控股集團","天利控股集團有限公司","2007-12-21"
"00118","大同機械","大同機械企業有限公司","1988-12-12"
"00119","保利置業集團","保利置業集團有限公司","1973-08-30"
"00120","COSMOPOL INT'L","四海國際集團有限公司","1989-11-09"
"00121","卜蜂蓮花","卜蜂蓮花有限公司","1981-03-27"
"00122","鱷魚恤","鱷魚恤有限公司","1980-07-11"
"00123","越秀地產","越秀地產股份有限公司","1992-12-15"
"00124","粵海置地","粵海置地控股有限公司","1997-08-08"
"00125","新興光學","新興光學集團控股有限公司","1999-05-25"
"00126","佳寧娜","佳寧娜集團控股有限公司","1991-11-01"
"00127","華人置業","華人置業集團有限公司","1980-03-05"
"00128","安寧控股","安寧控股有限公司","1972-11-16"
"00129","泛海集團","泛海國際集團有限公司","1973-01-24"
"00130","慕詩國際","慕詩國際集團有限公司","2002-02-11"
"00131","卓能(集團)","卓能(集團)有限公司","1988-08-03"
"00132","中國興業控股","中國興業控股有限公司","1973-05-18"
"00133","招商局中國基金","招商局中國基金有限公司","1993-07-22"
"00135","昆侖能源","昆侖能源有限公司","1973-03-13"
"00136","中國儒意","中國儒意控股有限公司","1997-09-25"
"00137","金輝集團","金輝集團有限公司","1991-12-06"
"00138","中建富通","中建富通集團有限公司","1991-11-11"
"00139","中達集團控股","中達集團控股有限公司","1994-03-15"
"00140","叁元集團","叁元集團有限公司","1972-11-27"
"00141","天禧海嘉控股","天禧海嘉控股集團有限公司","1973-03-07"
"00142","第一太平","第一太平有限公司","1988-09-12"
"00143","國安國際","國安國際有限公司","1999-04-09"
"00144","招商局港口","招商局港口控股有限公司","1992-07-15"
"00145","信能低碳","信能低碳有限公司","1972-07-01"
"00146","TAI PING CARPET","太平地氈國際有限公司","1980-01-08"
"00147","國際商業結算","國際商業結算控股有限公司","1988-06-06"
"00148","建滔集團","建滔集團有限公司","1993-10-08"
"00149","中國農產品交易","中國農產品交易有限公司","1973-03-12"
"00150","HYPEBEAST","Hypebeast Limited","2019-03-08"
"00151","中國旺旺","中國旺旺控股有限公司","2008-03-26"
"00152","深圳國際","深圳國際控股有限公司","1972-09-25"
"00153","中國賽特","中國賽特集團有限公司","2013-11-01"
"00154","北京控股環境集團","北京控股環境集團有限公司","1980-04-29"
"00155","中國源暢","中國源暢光電能源控股有限公司","1988-09-05"
"00156","力寶華潤","力寶華潤有限公司","1980-01-24"
"00157","自然美","自然美生物科技有限公司","2002-03-28"
"00158","萬邦投資","萬邦投資有限公司","1972-08-29"
"00159","布萊克萬礦業","布萊克萬礦業有限公司","1985-07-05"
"00160","漢國置業","漢國置業有限公司","1980-01-02"
"00161","中航國際控股","中航國際控股股份有限公司","1997-09-29"
"00162","世紀金花","世紀金花商業控股有限公司","2000-10-23"
"00163","英皇國際","英皇集團(國際)有限公司","1972-11-14"
"00164","中國寶力科技","中國寶力科技控股有限公司","1973-01-26"
"00165","中國光大控股","中國光大控股有限公司","1973-02-26"
"00166","新時代能源","新時代能源有限公司","1998-10-13"
"00167","IDT INT'L","萬威國際有限公司","1988-10-21"
"00168","青島啤酒股份","青島啤酒股份有限公司","1993-07-15"
"00169","萬達酒店發展","萬達酒店發展有限公司","2002-06-04"
"00170","中國資本","中國資本(控股)有限公司","1992-04-15"
"00171","銀建國際","銀建國際控股集團有限公司","1980-01-28"
"00172","金榜集團","金榜集團控股有限公司","1980-01-03"
"00173","嘉華國際","嘉華國際集團有限公司","1987-02-06"
"00174","盛洋投資","盛洋投資(控股)有限公司","1988-10-05"
"00175","吉利汽車","吉利汽車控股有限公司","1973-02-23"
"00176","先機企業集團","先機企業集團有限公司","1994-04-28"
"00177","江蘇寧滬高速公路","江蘇寧滬高速公路股份有限公司","1997-06-27"
"00178","莎莎國際","莎莎國際控股有限公司","1997-06-13"
"00179","德昌電機控股","德昌電機控股有限公司","1984-07-11"
"00180","開達集團","開達集團有限公司","1985-05-24"
"00181","閩港控股","閩港控股有限公司","1973-02-22"
"00182","協合新能源","協合新能源集團有限公司","1991-11-27"
"00183","宏輝集團","宏輝集團控股有限公司","2010-12-02"
"00184","激成投資","激成投資(香港)有限公司","1973-02-24"
"00185","正商實業","正商實業有限公司","1972-12-20"
"00186","敏捷控股","敏捷控股有限公司","1987-07-09"
"00187","京城機電股份","北京京城機電股份有限公司","1993-08-06"
"00188","新華匯富金融","新華匯富金融控股有限公司","2000-09-15"
"00189","東岳集團","東岳集團有限公司","2007-12-10"
"00190","香港建設(控股)","香港建設(控股)有限公司","1987-05-29"
"00191","麗新國際","麗新製衣國際有限公司","1987-12-03"
"00193","冠中地產","冠中地產有限公司","1972-09-11"
"00194","廖創興企業","廖創興企業有限公司","1972-11-13"
"00195","綠科科技國際","綠科科技國際有限公司","2008-11-12"
"00196","宏華集團","宏華集團有限公司","2008-03-07"
"00197","亨泰","亨泰消費品集團有限公司","2001-12-03"
"00198","星美控股","星美控股集團有限公司","1973-02-07"
"00199","德祥地產","德祥地產集團有限公司","1994-03-18"
"00200","新濠國際發展","新濠國際發展有限公司","1981-08-13"
"00201","華大酒店","華大酒店投資有限公司","1972-11-17"
"00202","潤中國際控股","潤中國際控股有限公司","2000-08-31"
"00203","駿威汽車","駿威汽車有限公司","1993-02-22"
"00204","中國投資開發","中國投資開發有限公司","2000-12-12"
"00205","財訊傳媒","財訊傳媒集團有限公司","1993-01-05"
"00206","華商國際海洋控股","華商國際海洋能源科技控股有限公司","2009-06-05"
"00207","大悅城地產","大悅城地產有限公司","1973-03-06"
"00208","保利達資產","保利達資產控股有限公司","1998-09-09"
"00209","瀛晟科學","瀛晟科學有限公司","2002-03-06"
"00210","達芙妮國際","達芙妮國際控股有限公司","1995-11-03"
"00211","STYLAND HOLD","大凌集團有限公司","1991-12-05"
"00212","NANYANG HOLD","南洋集團有限公司","1954-09-15"
"00213","NATIONAL ELEC H","樂聲電子有限公司","1985-02-04"
"00214","匯漢控股","匯漢控股有限公司","1986-01-06"
"00215","和記電訊香港","和記電訊香港控股有限公司","2009-05-08"
"00216","建業實業","建業實業有限公司","1973-01-31"
"00217","中國誠通發展集團","中國誠通發展集團有限公司","1972-01-10"
"00218","申萬宏源香港","申萬宏源(香港)有限公司","1980-01-02"
"00219","順豪物業","順豪物業投資有限公司","1973-05-10"
"00220","統一企業中國","統一企業中國控股有限公司","2007-12-17"
"00221","易易壹金融","易易壹金融集團有限公司","2002-11-07"
"00222","閩信集團","閩信集團有限公司","1982-06-28"
"00223","易生活控股","易生活控股有限公司","2002-04-10"
"00224","建生國際","建生國際集團有限公司","1980-01-02"
"00225","博富臨置業","博富臨置業有限公司","1972-12-19"
"00226","力寶","力寶有限公司","1980-01-02"
"00227","第一上海","第一上海投資有限公司","1972-08-24"
"00228","中能控股","中國能源開發控股有限公司","2002-02-18"
"00229","利民實業","利民實業有限公司","1984-11-22"
"00230","五礦地產","五礦地產有限公司","1991-12-20"
"00231","平安證券集團控股","平安證券集團(控股)有限公司","1980-01-03"
"00232","大陸航空科技控股","大陸航空科技控股有限公司","1991-12-12"
"00233","銘源醫療","銘源醫療發展有限公司","1986-03-19"
