"Stkcd","Stknme","Conme","Listdt"
"000001","平安银行","平安银行股份有限公司","1991-04-03"
"000002","万科A","万科企业股份有限公司","1991-01-29"
"000003","PT 金田A","金田实业(集团)股份有限公司","1991-07-03"
"000004","ST 国华","深圳国华网安科技股份有限公司","1991-01-14"
"000005","ST 星源","深圳世纪星源股份有限公司","1990-12-10"
"000006","深振业A","深圳市振业(集团)股份有限公司","1992-04-27"
"000007","*ST 全新","深圳市全新好股份有限公司","1992-04-13"
"000008","神州高铁","神州高铁技术股份有限公司","1992-05-07"
"000009","中国宝安","中国宝安集团股份有限公司","1991-06-25"
"000010","美丽生态","深圳美丽生态股份有限公司","1995-10-27"
"000011","深物业A","深圳市物业发展(集团)股份有限公司","1992-03-30"
"000012","南玻A","中国南玻集团股份有限公司","1992-02-28"
"000013","*ST 石化A","深圳石化工业集团股份有限公司","1992-05-06"
"000014","沙河股份","沙河实业股份有限公司","1992-06-02"
"000015","PT 中浩A","深圳中浩(集团)股份有限公司","1992-06-25"
"000016","深康佳A","康佳集团股份有限公司","1992-03-27"
"000017","深中华A","深圳中华自行车(集团)股份有限公司","1992-03-31"
"000018","神城A退","神州长城股份有限公司","1992-06-16"
"000019","深粮控股","深圳市深粮控股股份有限公司","1992-10-12"
"000020","深华发A","深圳中恒华发股份有限公司","1992-04-28"
"000021","深科技","深圳长城开发科技股份有限公司","1994-02-02"
"000022","深赤湾A","招商局港口集团股份有限公司","1993-05-05"
"000023","深天地A","深圳市天地(集团)股份有限公司","1993-04-29"
"000024","招商地产","招商局地产控股股份有限公司","1993-06-07"
"000025","特力A","深圳市特力(集团)股份有限公司","1993-06-21"
"000026","飞亚达","飞亚达精密科技股份有限公司","1993-06-03"
"000027","深圳能源","深圳能源集团股份有限公司","1993-09-03"
"000028","国药一致","国药集团一致药业股份有限公司","1993-08-09"
"000029","深深房A","深圳经济特区房地产(集团)股份有限公司","1993-09-15"
"000030","富奥股份","富奥汽车零部件股份有限公司","1993-09-29"
"000031","大悦城","大悦城控股集团股份有限公司","1993-10-08"
"000032","深桑达A","深圳市桑达实业股份有限公司","1993-10-28"
"000033","新都退","深圳新都酒店股份有限公司","1994-01-03"
"000034","神州数码","神州数码集团股份有限公司","1994-05-09"
"000035","中国天楹","中国天楹股份有限公司","1994-04-08"
"000036","华联控股","华联控股股份有限公司","1994-06-17"
"000037","深南电A","深圳南山热电股份有限公司","1994-07-01"
"000038","*ST 大通","深圳大通实业股份有限公司","1994-08-08"
"000039","中集集团","中国国际海运集装箱(集团)股份有限公司","1994-04-08"
"000040","东旭蓝天","东旭蓝天新能源股份有限公司","1994-08-08"
"000042","中洲控股","深圳市中洲投资控股股份有限公司","1994-09-21"
"000043","中航善达","招商局积余产业运营服务股份有限公司","1994-09-28"
"000045","深纺织A","深圳市纺织(集团)股份有限公司","1994-08-15"
"000046","泛海控股","泛海控股股份有限公司","1994-09-12"
"000047","ST 中侨","深圳市中侨发展股份有限公司","1994-10-21"
"000048","京基智农","深圳市京基智农时代股份有限公司","1994-11-01"
"000049","德赛电池","深圳市德赛电池科技股份有限公司","1995-03-20"
"000050","深天马A","天马微电子股份有限公司","1995-03-15"
"000055","方大集团","方大集团股份有限公司","1996-04-15"
"000056","皇庭国际","深圳市皇庭国际企业股份有限公司","1996-07-08"
"000058","深赛格","深圳赛格股份有限公司","1996-12-26"
"000059","华锦股份","北方华锦化学工业股份有限公司","1997-01-30"
"000060","中金岭南","深圳市中金岭南有色金属股份有限公司","1997-01-23"
"000061","农产品","深圳市农产品集团股份有限公司","1997-01-10"
"000062","深圳华强","深圳华强实业股份有限公司","1997-01-30"
"000063","中兴通讯","中兴通讯股份有限公司","1997-11-18"
"000065","北方国际","北方国际合作股份有限公司","1998-06-05"
"000066","中国长城","中国长城科技集团股份有限公司","1997-06-26"
"000068","华控赛格","深圳华控赛格股份有限公司","1997-06-11"
"000069","华侨城A","深圳华侨城股份有限公司","1997-09-10"
"000070","特发信息","深圳市特发信息股份有限公司","2000-05-11"
"000078","海王生物","深圳市海王生物工程股份有限公司","1998-12-18"
"000088","盐田港","深圳市盐田港股份有限公司","1997-07-28"
"000089","深圳机场","深圳市机场股份有限公司","1998-04-20"
"000090","天健集团","深圳市天健(集团)股份有限公司","1999-07-21"
"000096","广聚能源","深圳市广聚能源股份有限公司","2000-07-24"
"000099","中信海直","中信海洋直升机股份有限公司","2000-07-31"
"000100","TCL科技","TCL科技集团股份有限公司","2004-01-30"
"000150","*ST 宜康","宜华健康医疗股份有限公司","2000-08-07"
"000151","中成股份","中成进出口股份有限公司","2000-09-06"
"000153","丰原药业","安徽丰原药业股份有限公司","2000-09-20"
"000155","川能动力","四川省新能源动力股份有限公司","2000-09-26"
"000156","华数传媒","华数传媒控股股份有限公司","2000-09-06"
"000157","中联重科","中联重科股份有限公司","2000-10-12"
"000158","常山北明","石家庄常山北明科技股份有限公司","2000-07-24"
"000159","国际实业","新疆国际实业股份有限公司","2000-09-26"
"000166","申万宏源","申万宏源集团股份有限公司","2015-01-26"
"000301","东方盛虹","江苏东方盛虹股份有限公司","2000-05-29"
"000333","美的集团","美的集团股份有限公司","2013-09-18"
"000338","潍柴动力","潍柴动力股份有限公司","2007-04-30"
"000400","许继电气","许继电气股份有限公司","1997-04-18"
"000401","冀东水泥","唐山冀东水泥股份有限公司","1996-06-14"
"000402","金融街","金融街控股股份有限公司","1996-06-26"
"000403","派林生物","派斯双林生物制药股份有限公司","1996-06-28"
"000404","长虹华意","长虹华意压缩机股份有限公司","1996-06-19"
"000405","ST 鑫光","珠海鑫光集团股份有限公司","1996-06-20"
"000406","石油大明","中国石化胜利油田大明(集团)股份有限公司","1996-06-28"
"000407","胜利股份","山东胜利股份有限公司","1996-07-03"
"000408","藏格矿业","藏格矿业股份有限公司","1996-06-28"
"000409","云鼎科技","云鼎科技股份有限公司","1996-06-27"
"000410","*ST 沈机","沈阳机床股份有限公司","1996-07-18"
"000411","英特集团","浙江英特集团股份有限公司","1996-07-16"
"000412","ST 五环","长春北方五环实业股份有限公司","1996-07-15"
"000413","东旭光电","东旭光电科技股份有限公司","1996-09-25"
"000415","渤海租赁","渤海租赁股份有限公司","1996-07-16"
"000416","民生控股","民生控股股份有限公司","1996-07-19"
"000417","合肥百货","合肥百货大楼集团股份有限公司","1996-08-12"
"000418","小天鹅A","无锡小天鹅股份有限公司","1997-03-28"
"000419","通程控股","长沙通程控股股份有限公司","1996-08-16"
"000420","吉林化纤","吉林化纤股份有限公司","1996-08-02"
"000421","南京公用","南京公用发展股份有限公司","1996-08-06"
"000422","湖北宜化","湖北宜化化工股份有限公司","1996-08-15"
"000423","东阿阿胶","东阿阿胶股份有限公司","1996-07-29"
"000425","徐工机械","徐工集团工程机械股份有限公司","1996-08-28"
"000426","兴业矿业","内蒙古兴业矿业股份有限公司","1996-08-28"
"000428","华天酒店","华天酒店集团股份有限公司","1996-08-08"
"000429","粤高速A","广东省高速公路发展股份有限公司","1998-02-20"
"000430","张家界","张家界旅游集团股份有限公司","1996-08-29"
"000488","晨鸣纸业","山东晨鸣纸业集团股份有限公司","2000-11-20"
"000498","山东路桥","山东高速路桥集团股份有限公司","1997-06-09"
"000501","武商集团","武商集团股份有限公司","1992-11-20"
"000502","绿景退","绿景控股股份有限公司","1992-11-23"
"000503","国新健康","国新健康保障服务集团股份有限公司","1992-11-30"
"000504","南华生物","南华生物医药股份有限公司","1992-12-08"
"000505","京粮控股","海南京粮控股股份有限公司","1992-12-21"
"000506","中润资源","中润资源投资股份有限公司","1993-03-12"
"000507","珠海港","珠海港股份有限公司","1993-03-26"
"000508","琼民源A","海南民源现代农业发展股份有限公司","1993-04-30"
"000509","*ST 华塑","华塑控股股份有限公司","1993-05-07"
"000510","新金路","四川新金路集团股份有限公司","1993-05-07"
"000511","烯碳退","银基烯碳新材料集团股份有限公司","1993-05-18"
"000513","丽珠集团","丽珠医药集团股份有限公司","1993-10-28"
"000514","渝开发","重庆渝开发股份有限公司","1993-07-12"
"000515","攀渝钛业","攀钢集团重庆钛业股份有限公司","1993-07-12"
"000516","国际医学","西安国际医学投资股份有限公司","1993-08-09"
"000517","荣安地产","荣安地产股份有限公司","1993-08-06"
