"Stkcd","Trddt","ChangeRatio"
"002594","2021-01-04","0.064128"
"002594","2021-01-05","0.063552"
"002594","2021-01-06","-0.016371"
"002594","2021-01-07","0.040407"
"002594","2021-01-08","0.010976"
"002594","2021-01-11","0.032306"
"002594","2021-01-12","0.009069"
"002594","2021-01-13","0.009747"
"002594","2021-01-14","-0.064145"
"002594","2021-01-15","0.005582"
"002594","2021-01-18","-0.015586"
"002594","2021-01-19","-0.024764"
"002594","2021-01-20","0.026827"
"002594","2021-01-21","0.060901"
"002594","2021-01-22","0.031420"
"002594","2021-01-25","0.070311"
"002594","2021-01-26","-0.022231"
"002594","2021-01-27","0.010935"
"002594","2021-01-28","-0.049183"
"002594","2021-01-29","0.010804"
"002594","2021-02-01","-0.000445"
"002594","2021-02-02","0.083478"
"002594","2021-02-03","-0.016822"
"002594","2021-02-04","-0.011787"
"002594","2021-02-05","-0.041939"
"002594","2021-02-08","0.004819"
"002594","2021-02-09","0.027178"
"002594","2021-02-10","0.038716"
"002594","2021-02-18","-0.029818"
"002594","2021-02-19","-0.006332"
"002594","2021-02-22","-0.069283"
"002594","2021-02-23","-0.060621"
"002594","2021-02-24","-0.071156"
"002594","2021-02-25","0.001244"
"002594","2021-02-26","-0.057252"
"002594","2021-03-01","0.069093"
"002594","2021-03-02","0.002371"
"002594","2021-03-03","-0.007805"
"002594","2021-03-04","-0.053635"
"002594","2021-03-05","-0.010730"
"002594","2021-03-08","-0.100015"
"002594","2021-03-09","-0.034233"
"002594","2021-03-10","0.038142"
"002594","2021-03-11","0.032620"
"002594","2021-03-12","-0.007050"
"002594","2021-03-15","-0.040841"
"002594","2021-03-16","0.012682"
"002594","2021-03-17","0.002323"
"002594","2021-03-18","0.009441"
"002594","2021-03-19","-0.041445"
"002594","2021-03-22","0.015483"
"002594","2021-03-23","-0.027791"
"002594","2021-03-24","-0.036870"
"002594","2021-03-25","-0.009463"
"002594","2021-03-26","0.060732"
"002594","2021-03-29","-0.016902"
"002594","2021-03-30","0.005354"
"002594","2021-03-31","-0.026568"
"002594","2021-04-01","0.027719"
"002594","2021-04-02","0.040220"
"002594","2021-04-06","0.001251"
"002594","2021-04-07","-0.028962"
"002594","2021-04-08","-0.002983"
"002594","2021-04-09","-0.022055"
"002594","2021-04-12","-0.019554"
"002594","2021-04-13","0.003365"
"002594","2021-04-14","0.042314"
"002594","2021-04-15","-0.031881"
"002594","2021-04-16","-0.001208"
"002594","2021-04-19","0.065033"
"002594","2021-04-20","-0.027322"
"002594","2021-04-21","-0.015475"
"002594","2021-04-22","0.000712"
"002594","2021-04-23","0.003201"
"002594","2021-04-26","-0.010340"
"002594","2021-04-27","-0.015284"
"002594","2021-04-28","0.003395"
"002594","2021-04-29","-0.015408"
"002594","2021-04-30","-0.026879"
"002594","2021-05-06","-0.054046"
"002594","2021-05-07","-0.040333"
"002594","2021-05-10","0.021188"
"002594","2021-05-11","-0.002993"
"002594","2021-05-12","0.048922"
"002594","2021-05-13","-0.030833"
"002594","2021-05-14","0.030472"
"002594","2021-05-17","0.040709"
"002594","2021-05-18","-0.006759"
"002594","2021-05-19","0.088721"
"002594","2021-05-20","0.000926"
"002594","2021-05-21","0.001503"
"002594","2021-05-24","0.001559"
"002594","2021-05-25","0.017582"
"002594","2021-05-26","-0.001983"
"002594","2021-05-27","0.007266"
"002594","2021-05-28","0.023838"
"002594","2021-05-31","-0.016402"
"002594","2021-06-01","0.060213"
"002594","2021-06-02","-0.015623"
"002594","2021-06-03","-0.013941"
"002594","2021-06-04","0.029908"
"002594","2021-06-07","0.005016"
