Stkcd,Trddt,Opnprc,Clsprc
1,2022/6/1,14.14,14.08
2,2022/6/1,17.84,17.88
4,2022/6/1,9.6,9.65
5,2022/6/1,1.88,1.87
6,2022/6/1,4.37,4.54
7,2022/6/1,7.37,7.42
8,2022/6/1,2.82,2.67
9,2022/6/1,11.79,12.5
10,2022/6/1,3.59,3.55
11,2022/6/1,12.65,13.17
12,2022/6/1,6.22,6.15
14,2022/6/1,9.52,9.74
16,2022/6/1,5.61,5.61
17,2022/6/1,3.46,3.4
19,2022/6/1,8.93,8.77
20,2022/6/1,9.2,9.06
21,2022/6/1,11.03,11.1
23,2022/6/1,11.09,11.35
25,2022/6/1,20,21.68
26,2022/6/1,10.4,10.88
27,2022/6/1,6.29,6.31
28,2022/6/1,28.81,29
29,2022/6/1,9.55,10.65
30,2022/6/1,5.66,5.79
31,2022/6/1,3.82,3.81
32,2022/6/1,14.73,14.72
34,2022/6/1,14.91,14.87
35,2022/6/1,5.47,5.72
36,2022/6/1,4.26,4.4
37,2022/6/1,6.93,6.93
38,2022/6/1,4.01,4.04
39,2022/6/1,13.38,13.52
40,2022/6/1,3.04,3.08
42,2022/6/1,9,8.74
45,2022/6/1,7.23,7.37
46,2022/6/1,1.48,1.47
48,2022/6/1,17.67,17.9
49,2022/6/1,37.48,38.54
50,2022/6/1,9.4,9.4
55,2022/6/1,4.19,4.2
56,2022/6/1,5.18,5.1
58,2022/6/1,6.6,5.81
59,2022/6/1,6.57,6.53
60,2022/6/1,4.28,4.25
61,2022/6/1,6.6,6.84
62,2022/6/1,12.25,12.17
63,2022/6/1,24.11,24.05
65,2022/6/1,8.29,8.3
66,2022/6/1,10.16,10.04
68,2022/6/1,3.4,3.37
69,2022/6/1,5.75,5.8
70,2022/6/1,5.87,6.04
78,2022/6/1,3.74,3.71
88,2022/6/1,5.21,5.36
89,2022/6/1,6.54,6.56
90,2022/6/1,7.11,7.27
96,2022/6/1,9.62,9.51
99,2022/6/1,7.68,7.77
100,2022/6/1,4.54,4.47
150,2022/6/1,1.33,1.42
151,2022/6/1,18.36,19.47
153,2022/6/1,8.12,8.09
155,2022/6/1,19.62,19.36
156,2022/6/1,7.82,7.94
157,2022/6/1,5.94,5.94
158,2022/6/1,5.65,5.75
159,2022/6/1,5.72,5.73
166,2022/6/1,4.05,4.03
301,2022/6/1,15.42,15.24
333,2022/6/1,54.3,54.27
338,2022/6/1,12.08,12.04
400,2022/6/1,19.16,20.63
401,2022/6/1,10.19,10.14
402,2022/6/1,5.74,5.74
403,2022/6/1,20,20.07
404,2022/6/1,4.98,5.22
407,2022/6/1,3.67,3.69
408,2022/6/1,29.63,29.67
409,2022/6/1,5.73,5.76
410,2022/6/1,4.64,4.67
411,2022/6/1,12.45,12.2
413,2022/6/1,1.78,1.79
415,2022/6/1,2.14,2.13
416,2022/6/1,3.65,3.63
417,2022/6/1,4.9,4.91
419,2022/6/1,5.09,5.25
420,2022/6/1,4.12,4.1
421,2022/6/1,4.7,4.83
422,2022/6/1,19.58,19.9
423,2022/6/1,31.73,31.66
425,2022/6/1,5.28,5.29
426,2022/6/1,6.26,6.27
428,2022/6/1,3.81,3.85
429,2022/6/1,8.53,8.36
430,2022/6/1,6.28,6.26
488,2022/6/1,5.5,5.53
498,2022/6/1,9.71,9.55
501,2022/6/1,10.37,10.27
503,2022/6/1,8.3,8.38
504,2022/6/1,14.88,15.33
505,2022/6/1,10.88,10.69
506,2022/6/1,3.02,2.97
507,2022/6/1,6.37,6.45
509,2022/6/1,3.89,3.89
510,2022/6/1,6.25,6.4
513,2022/6/1,32.96,32.5
514,2022/6/1,5.21,5.08
516,2022/6/1,8.64,8.98
517,2022/6/1,3.46,3.44
518,2022/6/1,3.17,3.13
519,2022/6/1,24.76,24.87
520,2022/6/1,3.34,3.44
521,2022/6/1,3.77,4.14
523,2022/6/1,4.15,4.57
524,2022/6/1,10.4,11.1
525,2022/6/1,10.67,11.06
526,2022/6/1,15.52,15.54
528,2022/6/1,6.36,6.33
529,2022/6/1,8.18,7.16
530,2022/6/1,3.93,3.98
531,2022/6/1,8.78,9.05
532,2022/6/1,11.45,11.69
533,2022/6/1,3.4,3.6
534,2022/6/1,11.83,11.78
536,2022/6/1,1.95,1.95
537,2022/6/1,13.16,12.82
538,2022/6/1,56.4,55.61
539,2022/6/1,4.6,4.64
540,2022/6/1,1.71,1.73
541,2022/6/1,5.07,5.12
543,2022/6/1,4.14,4.13
544,2022/6/1,5.73,5.78
545,2022/6/1,3.9,3.88
546,2022/6/1,13.74,13.87
547,2022/6/1,11.39,12.05
548,2022/6/1,4.81,4.79
550,2022/6/1,15.81,16.31
551,2022/6/1,8.47,8.53
552,2022/6/1,4.26,4.3
553,2022/6/1,11.51,12.18
554,2022/6/1,5.68,5.73
555,2022/6/1,10.9,11
557,2022/6/1,4.8,4.66
558,2022/6/1,2.89,2.94
559,2022/6/1,5.68,5.71
560,2022/6/1,2.89,2.91
561,2022/6/1,7.58,7.71
563,2022/6/1,3,3
564,2022/6/1,1.02,1.02
565,2022/6/1,6.05,6.03
566,2022/6/1,4.46,4.48
567,2022/6/1,13.66,13.84
568,2022/6/1,214.59,214.44
570,2022/6/1,4.69,4.69
571,2022/6/1,1.98,1.97
572,2022/6/1,5.41,5.92
573,2022/6/1,3.25,3.25
576,2022/6/1,10.64,11.18
581,2022/6/1,20.9,20.94
582,2022/6/1,8.25,8.21
584,2022/6/1,4.59,5.04
586,2022/6/1,7.9,7.9
587,2022/6/1,1.29,1.28
589,2022/6/1,4.26,4.25
590,2022/6/1,8.05,7.99
591,2022/6/1,7.54,7.6
592,2022/6/1,2.51,2.5
593,2022/6/1,5.54,5.48
595,2022/6/1,7.18,7.18
596,2022/6/1,226,225.9
597,2022/6/1,5.37,5.33
598,2022/6/1,5.24,5.23
599,2022/6/1,3.99,3.99
600,2022/6/1,4.37,4.39
601,2022/6/1,4.86,4.91
603,2022/6/1,10.98,11.1
605,2022/6/1,6.28,6.39
606,2022/6/1,1.45,1.42
607,2022/6/1,4.53,4.56
608,2022/6/1,3.04,3.01
609,2022/6/1,5.06,4.99
610,2022/6/1,8.87,8.82
612,2022/6/1,5.88,5.87
615,2022/6/1,7.64,7.48
616,2022/6/1,1.52,1.53
617,2022/6/1,4.81,4.78
619,2022/6/1,6.36,6.31
620,2022/6/1,2.67,2.64
622,2022/6/1,4.17,4.18
623,2022/6/1,14.44,14.44
625,2022/6/1,14.3,14.52
626,2022/6/1,14.16,13.42
627,2022/6/1,2.94,2.91
628,2022/6/1,14.14,14.14
629,2022/6/1,3.34,3.33
630,2022/6/1,3.21,3.19
631,2022/6/1,3.3,3.33
632,2022/6/1,4.25,4.18
633,2022/6/1,5.45,5.5
635,2022/6/1,11,10.99
636,2022/6/1,17.05,16.8
637,2022/6/1,4.53,4.53
638,2022/6/1,5.62,5.88
639,2022/6/1,4.31,4.29
650,2022/6/1,5.9,5.92
651,2022/6/1,32.18,31.73
652,2022/6/1,3.75,3.75
655,2022/6/1,6.92,7.22
656,2022/6/1,3.13,3.07
657,2022/6/1,13.53,13.71
659,2022/6/1,3.44,3.53
661,2022/6/1,166.29,171.16
663,2022/6/1,7.58,7.45
665,2022/6/1,9.18,9.81
666,2022/6/1,8.55,8.92
667,2022/6/1,1.62,1.61
668,2022/6/1,11.19,11.66
669,2022/6/1,1.74,1.77
671,2022/6/1,2.37,2.34
672,2022/6/1,15.53,15.42
676,2022/6/1,5.38,5.45
677,2022/6/1,3.04,3.06
678,2022/6/1,4.67,4.83
679,2022/6/1,4.16,4.2
680,2022/6/1,5,5.1
681,2022/6/1,13.43,13.5
682,2022/6/1,6.63,6.62
683,2022/6/1,9.97,9.92
685,2022/6/1,7.68,7.65
686,2022/6/1,6.45,6.43
687,2022/6/1,0.31,0.31
688,2022/6/1,15.85,15.78
690,2022/6/1,4.35,4.33
691,2022/6/1,4.1,4.13
692,2022/6/1,3.75,3.81
695,2022/6/1,8.29,8.23
697,2022/6/1,6.93,7.06
698,2022/6/1,4.62,4.59
700,2022/6/1,4.58,4.65
701,2022/6/1,6.22,6.48
702,2022/6/1,5.22,5.24
703,2022/6/1,10.63,10.33
705,2022/6/1,8.18,8.21
707,2022/6/1,15.31,15.05
708,2022/6/1,19.44,19.9
709,2022/6/1,2.34,2.35
710,2022/6/1,12.97,13
711,2022/6/1,2.86,2.8
712,2022/6/1,13.8,13.78
713,2022/6/1,10.5,10.51
715,2022/6/1,6,5.89
716,2022/6/1,3.66,3.83
717,2022/6/1,3.62,3.69
718,2022/6/1,3.64,3.62
719,2022/6/1,7.44,7.43
720,2022/6/1,5.78,5.75
721,2022/6/1,4.38,4.34
722,2022/6/1,16.89,16.89
723,2022/6/1,11.52,11.46
725,2022/6/1,3.78,3.77
726,2022/6/1,7.04,7.04
727,2022/6/1,2.28,2.28
728,2022/6/1,5.77,5.76
729,2022/6/1,7.44,7.53
731,2022/6/1,9.33,9.4
732,2022/6/1,1.42,1.42
733,2022/6/1,119.3,120.89
735,2022/6/1,6.22,6.85
736,2022/6/1,17.34,17.34
737,2022/6/1,5.98,6.02
738,2022/6/1,27.4,27.91
739,2022/6/1,20.83,20.5
750,2022/6/1,3.44,3.42
751,2022/6/1,3.24,3.24
752,2022/6/1,4.46,4.59
753,2022/6/1,3.91,4.09
755,2022/6/1,4.12,4.22
756,2022/6/1,32.48,30
757,2022/6/1,3.94,4.01
758,2022/6/1,4.41,4.51
759,2022/6/1,5.34,5.29
761,2022/6/1,4.27,4.28
762,2022/6/1,41.22,41.68
766,2022/6/1,4.59,4.83
767,2022/6/1,3.97,3.99
768,2022/6/1,25.99,26.94
776,2022/6/1,17.03,16.8
777,2022/6/1,10.9,11.09
778,2022/6/1,4.93,4.95
779,2022/6/1,12.05,12.14
782,2022/6/1,4.63,4.59
783,2022/6/1,5.68,5.64
785,2022/6/1,4.43,4.53
786,2022/6/1,29.07,30.86
788,2022/6/1,7.9,7.76
789,2022/6/1,10.58,10.57
790,2022/6/1,4.53,4.56
791,2022/6/1,5.97,6.22
792,2022/6/1,31.21,30.88
793,2022/6/1,2.5,2.56
795,2022/6/1,6.65,6.7
796,2022/6/1,5,5.08
797,2022/6/1,3.63,3.55
798,2022/6/1,11.24,11.08
799,2022/6/1,158.57,158
800,2022/6/1,9.04,9.1
801,2022/6/1,7.03,7.12
802,2022/6/1,4.04,4.05
803,2022/6/1,14.52,14.75
806,2022/6/1,2.02,2.04
807,2022/6/1,11.26,11.24
809,2022/6/1,2.66,2.65
810,2022/6/1,15.5,14.95
811,2022/6/1,9.59,9.64
812,2022/6/1,5.78,5.53
813,2022/6/1,3.29,3.25
815,2022/6/1,10.81,10.58
816,2022/6/1,4.25,4.12
818,2022/6/1,34.82,35.4
819,2022/6/1,12.2,12.98
820,2022/6/1,4.09,4.07
821,2022/6/1,9.49,9.76
822,2022/6/1,9.65,9.56
823,2022/6/1,9.43,9.52
825,2022/6/1,5.74,5.74
826,2022/6/1,3.32,3.33
828,2022/6/1,9.89,10
829,2022/6/1,9.8,10.5
830,2022/6/1,19.22,19.08
831,2022/6/1,27.07,26.87
833,2022/6/1,8.14,9.08
836,2022/6/1,2.63,2.65
837,2022/6/1,8.08,8.05
838,2022/6/1,7.05,7.12
839,2022/6/1,1.9,1.91
848,2022/6/1,9.11,9.14
850,2022/6/1,3.73,3.81
851,2022/6/1,4.74,4.96
852,2022/6/1,6.43,6.5
856,2022/6/1,8.18,8.18
858,2022/6/1,172.99,170.41
859,2022/6/1,5.93,5.94
860,2022/6/1,23.4,23.43
861,2022/6/1,2.87,2.86
862,2022/6/1,7.22,7.37
863,2022/6/1,3.12,3.12
868,2022/6/1,4.82,5.25
869,2022/6/1,28.18,28.28
875,2022/6/1,7.2,7.31
876,2022/6/1,14.25,14.1
877,2022/6/1,12.2,12.29
878,2022/6/1,11.03,11
880,2022/6/1,9.1,9.42
881,2022/6/1,8.67,8.69
882,2022/6/1,1.88,1.87
883,2022/6/1,4.54,4.51
885,2022/6/1,9.56,9.53
886,2022/6/1,4.97,5.61
887,2022/6/1,14.76,14.88
888,2022/6/1,7.47,7.44
889,2022/6/1,1.92,1.93
890,2022/6/1,4.05,4.06
892,2022/6/1,3.07,3.06
893,2022/6/1,34.98,34.31
895,2022/6/1,28.39,27.36
897,2022/6/1,2.59,2.57
898,2022/6/1,3.47,3.49
899,2022/6/1,5.77,5.74
900,2022/6/1,4.49,4.49
901,2022/6/1,9.28,9.51
902,2022/6/1,16.32,16.56
903,2022/6/1,2.9,2.97
905,2022/6/1,8.41,9.25
906,2022/6/1,8.87,9.16
908,2022/6/1,3.37,3.33
909,2022/6/1,12.58,12.58
910,2022/6/1,8.38,8.56
911,2022/6/1,10.81,11.18
912,2022/6/1,5.53,5.51
913,2022/6/1,15.29,15.05
915,2022/6/1,43.5,42.49
917,2022/6/1,5.29,5.46
918,2022/6/1,2.3,2.28
919,2022/6/1,7.51,7.34
920,2022/6/1,8.29,8.3
921,2022/6/1,12.39,12.45
922,2022/6/1,9.04,8.97
923,2022/6/1,14.49,15.06
925,2022/6/1,7.39,7.42
926,2022/6/1,4.84,4.81
927,2022/6/1,2.99,2.96
928,2022/6/1,6.18,6.33
929,2022/6/1,8.32,8.35
930,2022/6/1,9.81,9.84
931,2022/6/1,6.2,6.17
932,2022/6/1,5.33,5.33
933,2022/6/1,13.7,13.84
935,2022/6/1,21.22,21
936,2022/6/1,4.87,4.89
937,2022/6/1,7.83,8.07
938,2022/6/1,17.73,17.5
948,2022/6/1,11.34,11.44
949,2022/6/1,3.65,3.64
950,2022/6/1,4.93,4.88
951,2022/6/1,12.74,12.63
952,2022/6/1,7.37,7.4
953,2022/6/1,5.96,5.85
955,2022/6/1,4.25,4.36
957,2022/6/1,14.99,16
958,2022/6/1,4.74,4.68
